Rank,Feature,Importance
0,114,0.06321039937618284
1,101,0.05832521406452934
2,24,0.05701171441137917
3,46,0.04990302861549802
4,136,0.0387804574647776
5,128,0.036196670617325226
6,69,0.035626679378916885
7,5,0.03499572660621904
8,62,0.03173146704248771
9,122,0.030317552551904905
10,121,0.030163844668680637
11,140,0.0301188080103586
12,32,0.029983194112165736
13,11,0.02885060807815659
14,63,0.022409282208177346
15,113,0.022052439675950233
16,150,0.022013860635665603
17,107,0.020847804771165747
18,65,0.02083304511192082
19,17,0.01977168397649958
20,18,0.01827033874337594
21,82,0.017921112334406197
22,147,0.01761295325603436
23,172,0.01439836199346527
24,73,0.01313016029036766
25,21,0.012605690997313011
26,100,0.011935028313038245
27,131,0.009794119277468444
28,97,0.009656183460494643
29,71,0.009642006654230142
30,111,0.008650480205109678
31,54,0.007303743240117411
32,13,0.006556174606940797
33,230,0.0056259527876087135
34,205,0.005085019662024696
35,171,0.004926936878660689
36,6,0.004847618990998201
37,222,0.004617712064256441
38,193,0.004604032466848925
39,229,0.0040620202181801315
40,120,0.0036483545025373892
41,206,0.0036375835380154323
42,194,0.003558659504926916
43,42,0.0035072749589144967
44,67,0.0032424580277790106
45,235,0.003234575441477916
46,212,0.003148378381438656
47,8,0.003131932956107356
48,4,0.003099700254424081
49,123,0.003090427865530766
50,103,0.0030317977978762635
51,187,0.002883557425203631
52,156,0.00286811676731127
53,203,0.0028218133711282196
54,183,0.0027998735835113153
55,214,0.002624208841338621
56,167,0.0024929829507217157
57,242,0.0024159035779817593
58,74,0.0023433496317287767
59,240,0.002335926302420563
60,144,0.002183477360861381
61,236,0.002178353032629351
62,132,0.002061877732998535
63,165,0.0020610209854011476
64,225,0.0018823079017258775
65,149,0.0018761788914032566
66,139,0.0018697888521396536
67,105,0.001827033934525782
68,61,0.0017818508252384333
69,58,0.001733879375121271
70,148,0.0017106090956284848
71,20,0.0016596940010033092
72,207,0.0016519559009941262
73,217,0.0015977067137391543
74,137,0.0015776643062457457
75,219,0.0015092573446037353
76,15,0.001460219943158293
77,202,0.001437906853141957
78,195,0.0014268985625840004
79,47,0.0014264604993394776
80,224,0.0014222967138868303
81,29,0.001388470438614348
82,232,0.0013407822455370891
83,30,0.001326871396352273
84,180,0.0012718481999184233
85,134,0.0012193513156623383
86,241,0.001197335971811606
87,157,0.0011803048689408794
88,124,0.0011791013301311775
89,201,0.0011726255894128977
90,31,0.0011678973169196797
91,95,0.0011269402221477662
92,59,0.0011256994882847858
93,196,0.0011130388654650488
94,223,0.001088848078884999
95,234,0.0010723207651027935
96,133,0.0010310857365792396
97,76,0.0010276533889331146
98,188,0.0010271150941321553
99,99,0.0010189099124327402
100,173,0.0010093910979080071
101,204,0.0009930187619721703
102,53,0.0009863367475621183
103,130,0.0009836827244628116
104,36,0.0009006743961204277
105,216,0.0008829672536320265
106,68,0.0007446620493424431
107,164,0.0005343721609203
108,213,0.0001513100839426318
109,170,9.494217322852342e-05
110,77,0.0
111,7,0.0
112,9,0.0
113,83,0.0
114,70,0.0
115,27,0.0
116,28,0.0
117,72,0.0
118,33,0.0
119,78,0.0
120,35,0.0
121,3,0.0
122,81,0.0
123,37,0.0
124,80,0.0
125,2,0.0
126,1,0.0
127,75,0.0
128,34,0.0
129,79,0.0
130,10,0.0
131,22,0.0
132,26,0.0
133,25,0.0
134,51,0.0
135,49,0.0
136,52,0.0
137,48,0.0
138,19,0.0
139,23,0.0
140,55,0.0
141,45,0.0
142,56,0.0
143,44,0.0
144,43,0.0
145,57,0.0
146,66,0.0
147,41,0.0
148,40,0.0
149,39,0.0
150,60,0.0
151,16,0.0
152,85,0.0
153,38,0.0
154,14,0.0
155,12,0.0
156,64,0.0
157,50,0.0
158,84,0.0
159,244,0.0
160,86,0.0
161,179,0.0
162,191,0.0
163,190,0.0
164,189,0.0
165,186,0.0
166,185,0.0
167,184,0.0
168,182,0.0
169,181,0.0
170,178,0.0
171,161,0.0
172,177,0.0
173,176,0.0
174,175,0.0
175,174,0.0
176,169,0.0
177,168,0.0
178,166,0.0
179,163,0.0
180,192,0.0
181,197,0.0
182,198,0.0
183,199,0.0
184,239,0.0
185,238,0.0
186,237,0.0
187,233,0.0
188,231,0.0
189,228,0.0
190,227,0.0
191,226,0.0
192,221,0.0
193,220,0.0
194,218,0.0
195,215,0.0
196,211,0.0
197,210,0.0
198,209,0.0
199,208,0.0
200,200,0.0
201,162,0.0
202,160,0.0
203,87,0.0
204,102,0.0
205,116,0.0
206,115,0.0
207,112,0.0
208,110,0.0
209,109,0.0
210,108,0.0
211,106,0.0
212,104,0.0
213,98,0.0
214,159,0.0
215,96,0.0
216,94,0.0
217,93,0.0
218,92,0.0
219,91,0.0
220,90,0.0
221,89,0.0
222,88,0.0
223,117,0.0
224,118,0.0
225,119,0.0
226,243,0.0
227,158,0.0
228,155,0.0
229,154,0.0
230,153,0.0
231,152,0.0
232,151,0.0
233,146,0.0
234,145,0.0
235,143,0.0
236,142,0.0
237,141,0.0
238,138,0.0
239,135,0.0
240,129,0.0
241,127,0.0
242,126,0.0
243,125,0.0
244,0,0.0
