0,1,Decision Tree Classifier,DTC,roc_auc_score,Baseline,class_weight=None  criterion='gini'  max_depth=None max_features=None  max_leaf_nodes=None min_impurity_decrease=0.0  min_impurity_split=None min_samples_leaf=1  min_samples_split=2 min_weight_fraction_leaf=0.0  presort=False  random_state=20 splitter='best'),Appetency,0.533566962676761
1,2,Random Forest Classifier,RFC,roc_auc_score,Baseline,bootstrap=True  class_weight=None  criterion='gini' max_depth=None  max_features='auto'  max_leaf_nodes=None min_impurity_decrease=0.0  min_impurity_split=None min_samples_leaf=1  min_samples_split=2 min_weight_fraction_leaf=0.0  n_estimators=10  n_jobs=1 oob_score=False  random_state=20  verbose=0  warm_start=False),Appetency,0.5967067664460209
2,3,Bagging Classifier,BGC,roc_auc_score,Baseline,base_estimator=None  bootstrap=True          bootstrap_features=False  max_features=1.0  max_samples=1.0          n_estimators=10  n_jobs=1  oob_score=False  random_state=20          verbose=0  warm_start=False),Appetency,0.6200883553195634
3,4,AdaBoost Classifier,ABC,roc_auc_score,Baseline,algorithm='SAMME.R'           base_estimator=DecisionTreeClassifier,Appetency,0.6309539665874968
4,5,Gradient Boosting Classifier,GBC,roc_auc_score,Baseline,criterion='friedman_mse'  init=None   learning_rate=0.1  loss='deviance'  max_depth=3   max_features=None  max_leaf_nodes=None   min_impurity_decrease=0.0  min_impurity_split=None   min_samples_leaf=1  min_samples_split=2   min_weight_fraction_leaf=0.0  n_estimators=100   presort='auto'  random_state=20  subsample=1.0  verbose=0   warm_start=False),Appetency,0.8236405324152319
5,6,Voting Classifier,VTC,roc_auc_score,Baseline,estimators=[,Appetency,0.7911080567426055
6,7,Decision Tree Classifier,DTC,roc_auc_score,Final,class_weight=None  criterion='entropy'  max_depth=5 max_features=None  max_leaf_nodes=10 min_impurity_decrease=0.0  min_impurity_split=None min_samples_leaf=43  min_samples_split=46 min_weight_fraction_leaf=0.0  presort=False  random_state=20 splitter='best'),Appetency,0.8035778643845459
7,8,Random Forest Classifier,RFC,roc_auc_score,Final,bootstrap=True  class_weight=None  criterion='entropy' max_depth=2  max_features=None  max_leaf_nodes=25 min_impurity_decrease=0.0  min_impurity_split=None min_samples_leaf=39  min_samples_split=46 min_weight_fraction_leaf=0.0  n_estimators=700  n_jobs=1 oob_score=False  random_state=20  verbose=0  warm_start=False),Appetency,0.793017814330709
8,9,Bagging Classifier,BGC,roc_auc_score,Final,base_estimator=DecisionTreeClassifier,Appetency,0.7923465310407661
9,10,AdaBoost Classifier,ABC,roc_auc_score,Final,algorithm='SAMME.R'           base_estimator=DecisionTreeClassifier,Appetency,0.7885572362044148
10,11,Gradient Boosting Classifier,GBC,roc_auc_score,Final,criterion='friedman_mse'  init=None   learning_rate=0.1  loss='exponential'  max_depth=2   max_features=None  max_leaf_nodes=5   min_impurity_decrease=0.0  min_impurity_split=None   min_samples_leaf=14  min_samples_split=48   min_weight_fraction_leaf=0.0  n_estimators=100   presort='auto'  random_state=20  subsample=1.0  verbose=0   warm_start=False),Appetency,0.8122024135978099
11,12,Voting Classifier,VTC,roc_auc_score,Final,estimators=[,Appetency,0.8147378441481109
